label,leftEyebrow,rightEyebrow,leftLip,rightLip,lipHeight,eye,openmouth,mouthline
anger, 5.965575495194612, 6.398065326480587, 5.478199324043226, 5.434830279958701, 2.935551671741381, 1.0962039963725736,4.6633643358812344,1.1462600095582527,1.1118408089794745
anger, 8.347684680179764, 6.828118444117928, 5.581423389174521, 5.993591714735091, 3.6441015329615545, 1.3892915476482293,4.557525705082903,1.0051098953046598,1.5023934510288584
anger, 7.177533830156906, 7.269580059245101, 7.492783687761346, 7.475973058961296, 5.678827953439213, 1.5490518790169836,4.600179022040609,1.0773497785423616,1.8022880611828052
disgust, 8.036611985569683, 7.147470541763611, 7.2200967286314865, 7.033669961899259, 4.607018057769623, 2.496767140493113,4.50829917634952,1.432925029387308,1.4365695011620065
disgust, 7.995315281343978, 7.411162518681102, 9.18137812255032, 10.072821253451831, 7.675785492497121, 3.921874240841438,4.450623232742062,2.1641691982338327,1.7680769120267426
disgust, 5.853762480882198, 6.451881705575732, 7.6087729986531425, 6.28486222895873, 4.698890890073633, 2.0059592914725592,4.460383146637257,1.4913054803891543,1.7994147281184987
fear, 5.2491789406272895, 5.052628467216631, 6.531762503214366, 6.587419479114699, 4.373847263815662, 1.5331417974708983,4.546889742760182,1.2548720490077747,1.4332750670802104
fear, 4.85023170614669, 4.692584960257985, 6.2667466128451, 6.423305369637228, 3.4115189488644995, 2.0465731207219395,4.475512221020359,1.557075241225114,1.2915655588936839
fear, 5.042655970605112, 5.117014196492788, 5.963665602453969, 5.941086238184585, 3.2857142857142856, 1.2380952380952381,4.465640197687136,1.1724137931034482,1.2551932935136454
joy, 7.462551116119668, 8.005091441366666, 9.906714356770006, 8.409049809783875, 8.186246645828689, 2.518226243734694,4.603076836664487,1.9864405216230225,1.7941401520388043
joy, 6.080610178744634, 7.100916042059297, 11.527304838708172, 9.54520115850724, 9.798377249387343, 3.5320546196322575,4.488508013570247,2.1735082081819894,2.0718424458273725
joy, 6.65793236773105, 6.154692998633331, 10.64222095435936, 10.8062496821401, 10.181818181818182, 3.1818181818181817,4.591226085278238,1.8888888888888888,1.7747292806363322
neutral, 5.858113380003356, 5.669225136732443, 5.415544226529132, 5.461241294638345, 3.3710435218533603, 0.7788179357521117,4.445761337183871,0.9859854920058972,1.6594619209672168
neutral, 5.4212572314366465, 5.319834999348773, 5.395369959981071, 5.281594782510763, 2.8979028107846747, 0.9572231857500859,4.552226837793128,1.0208328913685099,1.489200147526205
neutral, 4.825758897911688, 4.952745712332614, 5.724247668608635, 5.736693641860043, 3.092100576121462, 0.9524913747664726,4.641610842474413,0.9993628543475496,1.4332404351982384
sadness, 4.47785663516008, 4.382741022851326, 6.367880009140076, 6.320575773761833, 3.9133169545510698, 0.8232168307397653,4.471420078424083,0.875520967756081,1.4966960312304536
sadness, 5.249450068113739, 5.519626314075348, 4.7827164384264735, 4.88705761413353, 2.341370817844163, 0.18640952955676046,4.352140759512442,0.8631742572391118,1.4619607798830387
sadness, 4.631544424601205, 4.958695399065882, 5.430495201224288, 5.535277278610737, 3.0697159050480414, 0.8198360491836058,4.453502483187458,1.019060858633107,1.4229313854893535
surprise, 5.476633400378476, 5.729298792085849, 5.091803086819293, 4.898270825978935, 2.25055548698538, 1.3009611831257688,4.483784964752495,1.4405554484295287,1.607125518429351
surprise, 5.758897803163752, 5.578160057219456, 7.215462707023116, 7.9831422797582166, 4.017944292507454, 4.138074710149352,4.70707286683204,2.3137254901960786,1.329970663714766
surprise, 5.687652261562582, 5.477967572552885, 5.701856306866035, 5.62086692852868, 2.5559261766900967, 2.2903470599829214,4.514251355171689,1.8504893650584178,1.5740543379513712
