label,leftEyebrow,rightEyebrow,leftLip,rightLip,lipHeight,lipWidth
anger, 5.103235410770284, 5.435284625329559, 5.254632465281591, 5.326254486702754, 2.795992848702556, 0.8777882925553702
anger, 5.30475823482879, 5.459314171861703, 5.2790145008531395, 5.218804148678318, 2.7594481655448195, 0.8400700642891843
anger, 5.369585214289486, 5.398324204018244, 5.333275428896491, 5.303349628247727, 2.8565480527527036, 0.8368092923959038
anger, 5.277620935020122, 5.366813216719001, 5.399768473414906, 5.415388203455954, 2.9355829163598037, 0.9146866040947615
anger, 5.4761633587574465, 5.487270311965192, 5.257715509982551, 5.323418797575238, 2.812808625042079, 0.8960755486502737
anger, 5.809934672387201, 5.578403649881177, 5.585176198336514, 5.313134967374193, 3.3951475707289998, 0.744348073184887
anger, 5.599802178185123, 5.616041591423153, 5.508442211634766, 5.359360202329774, 3.3486584647457724, 0.7207353602116795
anger, 5.54881414313879, 5.660364069596772, 5.538860586895482, 5.368659882838487, 3.4085137416021603, 0.7498063766587071
anger, 5.559364517430485, 5.044686148595862, 5.286012327691617, 6.131222650515231, 3.857709627790646, 0.39424803826013155
anger, 5.709834296866177, 5.325020156849329, 5.335371900913952, 6.072472446780079, 3.7514559932855067, 0.47703823614700214
anger, 5.810912021020163, 6.052872884143248, 4.88182115593672, 4.776131917787313, 2.327133343376616, 0.7538996029048255
anger, 7.713777060577592, 6.835696632883525, 5.190717235424124, 5.271605246091757, 2.6862737168789144, 0.7212212207401567
anger, 7.858454394064934, 6.486024442067907, 5.218929964505832, 5.264278691178853, 2.656335142550483, 0.6892455167955777
anger, 5.678925326518892, 5.836762844787106, 5.499238764489781, 5.689367911237477, 3.2137052495278104, 1.1370687218543107
anger, 6.493852339188235, 6.1644300058489705, 5.639270117805605, 6.016997497063954, 3.4063766629017005, 0.7839596028545022
anger, 5.782294240214823, 5.873719000433631, 5.070046352203153, 4.98862876161964, 2.163941918836819, 0.9098178911415857
anger, 6.008526261313269, 5.942202588832167, 5.101727288045824, 5.004636587738234, 2.286830084797446, 0.7875384668285694
anger, 5.526563273082508, 5.495003900148211, 5.608240840622393, 5.715437955459213, 3.321603020746643, 0.9383437051574445
anger, 5.5829235265981, 5.577415852172859, 6.035709521949867, 5.9705089482632685, 3.6882165305836625, 1.1218218053220073
anger, 6.0601434384031645, 5.635376172031134, 5.090680350573566, 5.332101368916194, 2.5473308212542567, 0.9535207680044863
anger, 5.569881137857951, 5.4350092079597845, 4.802373393824503, 4.861169893233989, 2.1080953839567886, 0.593413917785058
anger, 5.159119084726424, 5.134252648313507, 4.868878615851485, 4.958994030739625, 2.315280720475065, 0.540435690791556
anger, 5.963217622625298, 5.975076241808296, 5.607057904263713, 5.370312140101248, 3.210570775716111, 1.0414921422425332
anger, 6.336461852492269, 6.147961716005184, 5.489495962607245, 5.389348253243689, 3.0816344021047164, 1.128038380657012
anger, 5.971934254322209, 6.00702374606014, 5.308281576604921, 5.188923051998039, 2.9665374982504917, 0.7459552910056063
anger, 5.9926124820556534, 6.103813663760502, 5.000200233861635, 5.012231235128182, 2.7366760811528943, 0.6562042569548278
anger, 6.068401183684297, 6.149050422912037, 5.254657011690951, 5.2622372694971595, 3.1225236342026053, 0.5974303950445415
anger, 6.0808495257344575, 5.689134692065279, 5.205847531985182, 5.260037605181379, 2.688888888888889, 0.8012336167697753
anger, 5.976843628106519, 5.803712424540452, 5.255801395261642, 5.3597727226802085, 2.814049585136003, 0.813953488372093
anger, 6.0868333661140275, 6.142628724890141, 5.150995939396701, 5.288230275074346, 2.6516365121798944, 0.8736958024505156
anger, 5.893603719777697, 6.148891224972803, 5.020946562107025, 5.259559651312815, 2.5752915751100067, 0.8127936295043754
anger, 5.268790532066894, 5.4529182318886535, 4.994796433896832, 4.965683512145384, 2.4303103977561435, 0.6473785482788054
anger, 5.276219294813764, 5.564048930732891, 5.126004566899738, 4.98796460462388, 2.5496709783801674, 0.6748646447405698
anger, 6.51830637279409, 5.953866951288894, 5.122903994168174, 5.120389654634142, 2.690464422792214, 0.6728617204974386
anger, 6.561342872189216, 5.675712909184767, 5.123155570859503, 4.814707481184007, 2.7041278986593245, 0.23071794301867646
anger, 6.408352853598522, 5.845616346732028, 5.335170417231762, 5.275009814042592, 2.997869317913031, 0.559552536884202
anger, 6.26647377454076, 5.79975634320895, 6.062035433374643, 6.147052458331463, 3.8434955503304113, 1.199909506295011
anger, 6.010689436328129, 5.076084470709327, 5.55488334281876, 5.6033473420852165, 3.4116160028585862, 0.8429752221811598
anger, 6.281734447799472, 6.780879131870469, 5.296230927223108, 5.194292341998556, 2.833407765599671, 0.7709475253011037
anger, 6.00928332985044, 6.5661393944993005, 4.771874938794922, 4.826535869514001, 2.333571416424952, 0.566911711723165
anger, 5.558987859279644, 5.682548034419617, 5.272545898557679, 5.0160383705890945, 2.5345384191519016, 0.9407434065789391
anger, 5.718152058234888, 5.762802664522574, 5.121755044461309, 4.896722161933212, 2.229866427301002, 0.9802329931333564
anger, 5.775429710734636, 6.157550997755267, 5.051549186797308, 4.918111480317917, 2.2122908419172127, 0.9809577496043731
anger, 5.702853303633815, 5.8554209779332655, 5.29810601160591, 5.002325871187177, 2.3394962730257975, 1.0793220567728716
anger, 7.147916673710995, 6.170831708177349, 6.531694263419935, 6.53073627966619, 4.326193859201526, 1.2615227658334007
anger, 5.863306456958213, 5.776125384366926, 6.449039241898145, 5.625345950143923, 3.7001805010123765, 1.447018595555868
