label,leftEyebrow,rightEyebrow,leftLip,rightLip,lipHeight,eye,openmouth,mouthline
anger, 5.103235410770284, 5.435284625329559, 5.254632465281591, 5.326254486702754, 2.795992848702556, 0.8777882925553702,4.416209649652891,1.0153846153846153,1.4885402059348376
anger, 5.30475823482879, 5.459314171861703, 5.2790145008531395, 5.218804148678318, 2.7594481655448195, 0.8400700642891843,4.395593769545054,0.9848519891032713,1.4979786021530817
anger, 5.369585214289486, 5.398324204018244, 5.333275428896491, 5.303349628247727, 2.8565480527527036, 0.8368092923959038,4.417182552613634,0.9846190535171369,1.4937311929233883
anger, 5.277620935020122, 5.366813216719001, 5.399768473414906, 5.415388203455954, 2.9355829163598037, 0.9146866040947615,4.430005678233316,0.9998779520346953,1.4776879385836568
anger, 5.4761633587574465, 5.487270311965192, 5.257715509982551, 5.323418797575238, 2.812808625042079, 0.8960755486502737,4.391896966639992,1,1.4822184080623135
anger, 5.809934672387201, 5.578403649881177, 5.585176198336514, 5.313134967374193, 3.3951475707289998, 0.744348073184887,4.378116364301515,1.037520315895775,1.8994542368099618
anger, 5.599802178185123, 5.616041591423153, 5.508442211634766, 5.359360202329774, 3.3486584647457724, 0.7207353602116795,4.382126380124066,0.9818242459661266,1.8916368147660758
anger, 5.54881414313879, 5.660364069596772, 5.538860586895482, 5.368659882838487, 3.4085137416021603, 0.7498063766587071,4.383220906117234,0.9821486013021895,1.9213094720935462
anger, 5.559364517430485, 5.044686148595862, 5.286012327691617, 6.131222650515231, 3.857709627790646, 0.39424803826013155,4.505307905948257,0.9453594680780675,1.6069552904113618
anger, 5.709834296866177, 5.325020156849329, 5.335371900913952, 6.072472446780079, 3.7514559932855067, 0.47703823614700214,4.521168166973921,0.9495521884460976,1.6571058642720002
anger, 5.810912021020163, 6.052872884143248, 4.88182115593672, 4.776131917787313, 2.327133343376616, 0.7538996029048255,4.355582467821128,1.0269493215142045,1.6970885625214425
anger, 7.713777060577592, 6.835696632883525, 5.190717235424124, 5.271605246091757, 2.6862737168789144, 0.7212212207401567,4.4741138905206945,0.986407134848408,1.4939070235381404
anger, 7.858454394064934, 6.486024442067907, 5.218929964505832, 5.264278691178853, 2.656335142550483, 0.6892455167955777,4.446394631987558,0.972992974520964,1.4749953753470744
